"","Label","X.Msgs","Obs.","Port.","X.Raw","IV.Date","Lin_Flux","Lin_FluxCV","Exp_Flux","Exp_FluxCV","Sampling_Time"
"157","ExRes 6",0,10,10,93,"10/11/21 18:44",0,28.2,0,28.2,"W3"
"158","ExRes 40",0,11,11,92,"10/11/21 18:46",-0.01,8.8,-0.01,8.9,"W3"
"159","Dummy",0,1,1,92,"10/11/21 19:33",0,7.2,0,6.7,"W3"
"160","ExRes 36",0,2,2,93,"10/11/21 19:35",0.01,6.1,0.02,3.8,"W3"
"161","ExRes 19",0,3,3,92,"10/11/21 19:38",0.01,5.7,0.01,4.6,"W3"
"162","ExRes 18",0,4,4,92,"10/11/21 19:40",0,23.8,0,18.9,"W3"
"163","ExRes 31",0,5,5,91,"10/11/21 19:42",0.09,34.3,0.03,126.2,"W3"
"164","ExRes 7",0,6,6,92,"10/11/21 19:45",-0.02,5.4,-0.02,5.4,"W3"
"165","ExRes 16",0,7,7,91,"10/11/21 19:47",-0.01,62.7,-0.01,62.7,"W3"
"166","ExRes 5",0,8,8,92,"10/11/21 19:49",0.34,5.9,0.99,2.1,"W3"
"167","ExRes 20",0,9,9,92,"10/11/21 19:52",0.15,3.1,0.25,1.8,"W3"
"168","ExRes 11",0,10,10,92,"10/11/21 19:54",0.15,3.3,0.22,2.3,"W3"
"169","ExRes 8",0,11,11,92,"10/11/21 19:56",-0.06,21.5,-0.06,21.5,"W3"
"170","Dummy",0,1,1,92,"10/11/21 20:33",0,6.2,0,6.2,"W3"
"171","ExRes 38",1,2,2,91,"10/11/21 20:35",-0.01,6,0,0,"W3"
"172","ExRes 28",0,3,3,92,"10/11/21 20:37",-0.01,7.5,-0.01,7.5,"W3"
"173","ExRes 26",1,4,4,91,"10/11/21 20:39",-0.01,5.5,0,0,"W3"
"174","ExRes 10",0,5,5,93,"10/11/21 20:42",-0.01,6.2,-0.01,6.2,"W3"
"175","ExRes 32",1,6,6,91,"10/11/21 20:44",-0.01,7.6,0,0,"W3"
"176","ExRes 27",0,7,7,93,"10/11/21 20:46",-0.01,8.8,-0.01,8.7,"W3"
"177","ExRes 9",1,8,8,91,"10/11/21 20:49",-0.01,7.3,0,0,"W3"
"178","ExRes 41",0,9,9,92,"10/11/21 20:51",0,30.1,0,30.1,"W3"
"179","ExRes 35",0,10,10,92,"10/11/21 20:53",-0.01,8.5,-0.01,6.6,"W3"
"180","ExRes 42",1,11,11,91,"10/11/21 20:56",-0.01,8.6,0,0,"W3"
"181","Dummy",0,1,1,91,"10/19/21 16:03",0,6.3,0,5.2,"W4"
"182","ExRes 1",0,2,2,91,"10/19/21 16:06",0,6.3,0,5.3,"W4"
"183","ExRes 14",0,3,3,92,"10/19/21 16:08",0.01,6.4,0.01,4.4,"W4"
"184","ExRes 4",0,4,4,92,"10/19/21 16:10",0.01,5.8,0.01,4.6,"W4"
"185","ExRes 15",0,5,5,93,"10/19/21 16:12",0.01,8.2,0.01,3.1,"W4"
"186","ExRes 12",0,6,6,92,"10/19/21 16:15",0,5.6,0.01,4.1,"W4"
"187","ExRes 2",0,7,7,91,"10/19/21 16:17",0,6.9,0.01,5.5,"W4"
"188","ExRes 34",0,8,8,92,"10/19/21 16:19",0.01,7.2,0.01,3.5,"W4"
"189","ExRes 30",0,9,9,92,"10/19/21 16:22",0,5.1,0.01,3.9,"W4"
"190","ExRes 6",0,10,10,93,"10/19/21 16:24",0,4.6,0.01,3.3,"W4"
"191","ExRes 40",0,11,11,92,"10/19/21 16:26",0,13.3,0.01,5.2,"W4"
"192","Dummy",0,1,1,92,"10/19/21 17:10",0,4.1,0,3.3,"W4"
